restaurant_name,comment_text,date,rating
پیتزا پرپروک (پاسداران - شبانه),از همه نظر عالی مثل همیشه ، بخصوص اون ساندویچ فیله سوخاری,۱۸ فروردین ۱۴۰۳,5
پیتزا پرپروک (پاسداران - شبانه),عالی ، زود هم رسید,۱۵ دی ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),به نسبت قیمت خیلی کوچک بود و سرد بود به توضیحات توجه نشده بود و کیفیت خوبی نداشت,۱۵ دی ۱۴۰۲,2
پیتزا پرپروک (پاسداران - شبانه),ممنون از پیک که این وقت شب زحمت میکشن غذا رو گرم تحویل میدن و برخورد خیلی خوبی هم داشتن .,۱۵ دی ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),دهقانی عالی بود,۸ دی ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),متاسفانه با اینکه تحویل سفارش به عهده ی پیک رستوران بود غذا در حدی سرد بود انگار از یخچال بیرون اومده بود و این باعث شده بود که کیفیت مزه ی غذا پایین بیادو پنیر پیتزا بسیار طعم بدی داشت.,۲۴ آذر ۱۴۰۲,
پیتزا پرپروک (پاسداران - شبانه),دقیقا این سفارش عالی بود ، ولی,۱۷ آذر ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),همیشه عالیه,۹ آذر ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),کیفیت غذا بسیار ضعیف,۲۰ آبان ۱۴۰۲,
پیتزا پرپروک (پاسداران - شبانه),خیلی عالی بود ممنونم,۱ مهر ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),خوشمزه و گرم رسید دستمون,۲۸ شهریور ۱۴۰۲,4
پیتزا پرپروک (پاسداران - شبانه),عالی بود واقعأ ممنون از مجموعه پرپروک,۳۱ مرداد ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),مزخرف,۱۳ تیر ۱۴۰۲,
پیتزا پرپروک (پاسداران - شبانه),خیلی خوب بود,۱۱ تیر ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),عالی تر از عالی ، اون موقع شب به وقت و داغ و تازه مرسی ازتون,۲۳ خرداد ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),ما که مشتری همیشگی پیتزاهای شبونشونیم. عالی,۱۱ اسفند ۱۴۰۱,5
پیتزا پرپروک (پاسداران - شبانه),Aliiiii,۱۶ بهمن ۱۴۰۱,5
پیتزا پرپروک (پاسداران - شبانه),سلام ،درکل راضی بودن,۳۰ آذر ۱۴۰۱,5
پیتزا پرپروک (پاسداران - شبانه),کیفیت بالا,۱۴ آبان ۱۴۰۴,5
پیتزا پرپروک (پاسداران - شبانه),نسبت به قدیم کیفیت خوب نبود,۲۷ دی ۱۴۰۳,3
پیتزا پرپروک (پاسداران - شبانه),خووووووشمزه,۱۳ آذر ۱۴۰۳,5
پیتزا پرپروک (پاسداران - شبانه),متاسفم برای پرپروک با این کیفیت,۱ شهریور ۱۴۰۲,
پیتزا پرپروک (پاسداران - شبانه),غذا بسیار سرد و مونده بود,۲۰ مرداد ۱۴۰۲,
پیتزا پرپروک (پاسداران - شبانه),مثل همیشه بسیار با کیفیت و عالی ، با بهترین متریال اولیه,۱۱ مرداد ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),سالاد افتضاح بود,۱۶ دی ۱۴۰۱,
پیتزا پرپروک (پاسداران - شبانه),فلفل های روش قبلا بیشتر بود,۲۰ آبان ۱۴۰۱,3
پیتزا پرپروک (پاسداران - شبانه),کلا افت کرده پرپروک دیگه طعم خاصی نداره و شده یه فست فود معمولی و به قیمتش نمی ارزه، پیتزای کم کیفیت و بی مزه رو هر فست فودی بدون نامی هم داره با یک سوم قیمت,۲۹ خرداد ۱۴۰۱,3
پیتزا پرپروک (پاسداران - شبانه),داغ نبود,۹ اسفند ۱۴۰۰,5
پیتزا پرپروک (پاسداران - شبانه),پیتزا استیک با فلفل فوق العاده خوشمزه است. ممنون,۷ بهمن ۱۴۰۰,5
رستوران ایتالیایی روتیندا,پیتزا برش نخورده بود و بال ها سوخته بود تقریبا,۲۴ آبان ۱۴۰۴,2
رستوران ایتالیایی روتیندا,واقعا روتیندا یکی از بهترین پیتزاها رو داره همیشه داغ به دستمون میرسه ممنون روتیندای عزیز ،، دمتون گرم,۱۷ آبان ۱۴۰۴,5
رستوران ایتالیایی روتیندا,اصلا کیفیت قبل و نداره من سیر و استیک سفارش دادم ،کلا دوتا پر روش گوشت بود،یزره وسط نون مواد داشت نصف پیتزا نون بود,۹ آبان ۱۴۰۴,
رستوران ایتالیایی روتیندا,طعم و کیفیت خوب بود و سریع رسید,۵ آبان ۱۴۰۴,5
رستوران ایتالیایی روتیندا,خیلی خوشمزه بود,۲۵ مهر ۱۴۰۴,5
رستوران ایتالیایی روتیندا,واقعا بهترین پیتزایی بود که خوردم لذت بردم چه مزه ای داشت واقعا عالی توروخدا کیفیت رو نگه دارین,۲۸ شهریور ۱۴۰۴,5
رستوران ایتالیایی روتیندا,واقعا كيفيت غذاها بشدت افت كرده پيتزا ها سوخته بودن و انقدر مخلفاتش كن بود كه انگار نون خاليه . ولى پاستا خوب بود جز اينكه بى نمک بود,۲۷ شهریور ۱۴۰۴,
رستوران ایتالیایی روتیندا,عالیه مثل همیشه همه چی عالی بود مرسی که هستی روتیندا,۲۵ شهریور ۱۴۰۴,5
رستوران ایتالیایی روتیندا,من مشتری روتیندا هستم واقعا به مشتری احترام میگذارند و سفارش همیشه استانداردهای بالایی داره,۱۹ شهریور ۱۴۰۴,5
رستوران ایتالیایی روتیندا,پیتزا سرد به دستم رسید و مزه ش خیلی بد بود، کلا دو سه تکه گوشت داشت.,۲۲ مرداد ۱۴۰۴,2
رستوران ایتالیایی روتیندا,سس سالاد سزار بشدت از حجمش کم شده و پیشنهاد میدم اگر رستوران قدرت تامین سس را ندارد بهتر است ارسال سس نباشد یا بابتش هزینه دریافت کند,۲۱ مرداد ۱۴۰۴,4
رستوران ایتالیایی روتیندا,همه چیز عالی . کیفیت و پیگیری عالی . تعهد و تخصص عالی .بیشتر از یکساله که ازتون خرید میکنیم و حتی وقتی ما اشتباه ثبت سفارش میکنیم برای تغییر و ویرایش نهایت همکاری رو باهامون داشتن,۱۸ مرداد ۱۴۰۴,5
رستوران ایتالیایی روتیندا,ممنونم بازم مثل همیشه عالی بود مچکرم,۲۰ خرداد ۱۴۰۴,5
رستوران ایتالیایی روتیندا,اصلا کیفیت مثل قبل نبود پیتزا شور و بعد طعم و بیات شکل ظاهری غذاها کاملا به هم ریخته بود و اصلا پیشنهاد نمیکنم تو محدوده پیتزاهای خیلی بهتری با این قیمت هست و ای کاشکی کیفیت و قیمت با هم همخونی داشته باشه,۱۵ خرداد ۱۴۰۴,2
رستوران ایتالیایی روتیندا,مشتری همیشگی هستم,۲ خرداد ۱۴۰۴,5
رستوران ایتالیایی روتیندا,انتظار بیشتری میرفت اما خیلی خیلی معمولی بود,۲۵ فروردین ۱۴۰۴,3
رستوران ایتالیایی روتیندا,پیتزا واقعا بد بود و من قبلا سفارش داشتم اصلا اینجوری نبود گوشت مثل لاستیک طعم افتضاح مواد مونده پیش غذا گرم و خوشمزه بود اما پیتزا واقعا بد.,۱ فروردین ۱۴۰۴,3
رستوران ایتالیایی روتیندا,خوبه ولی پیتزاش خیلی چرب بود,۲۵ اسفند ۱۴۰۳,4
رستوران ایتالیایی روتیندا,خوشمزه و عالی ولی یه کم چرب,۲۵ اسفند ۱۴۰۳,5
رستوران ایتالیایی روتیندا,کیفیت افت کرده سس کم شده گوشت خشک بود و بو میداد مثل قبل نبود,۲ اسفند ۱۴۰۳,2
برگرلند(اندرزگو)شبانه,نون خمیر، گوشت بی مزه، و پیتزای یخ زده یا شیفت شب نذارین، یا به برند خودتون احترام بذارین,۵ آبان ۱۴۰۴,3
برگرلند(اندرزگو)شبانه,بدترین پیتزا و برگر زندگیم افتضاح افتضاح افتضاح,۲۶ آذر ۱۴۰۳,
برگرلند(اندرزگو)شبانه,خیلی بد بودش حجم بسیار کم من با این مبلغ سه تا پیتزا میخرم,۲۰ آذر ۱۴۰۳,
برگرلند(اندرزگو)شبانه,۲ عدد پیتزا استیک سفارش دادم ولی دو مدل مختلف فرستادن و آنقدر روی پیتزا روغن ریخته شده بود که آنقدر چرب شده بود که اصلا امکان خوردن نداشت از برگرلند انتظار کیفیت به این پایین نداشتم امید وارم در کیفیت تجدید نظر کنید,۲ آبان ۱۴۰۳,
برگرلند(اندرزگو)شبانه,پیتزا واقعا ضعیف بود ، کاش به اسم برندتون رحم کنید و از تولید همچین پیتزایی صرف نظر کنید .,۵ مرداد ۱۴۰۳,2
برگرلند(اندرزگو)شبانه,بدترین پیتزایی که تو کل عمرم خوردم نانش مثل نان بربری بود سفت و افتضاح و مواد روی پیتزا مثل استیک مونده بود و انگار سوزانده بودند و پنیر پیتزاش هم همینطور،در کل افتضاح ترین غذایی بود که تو عمرا خوردم,۸ تیر ۱۴۰۳,
برگرلند(اندرزگو)شبانه,پیتزا سرد بود!,۲۷ فروردین ۱۴۰۳,
برگرلند(اندرزگو)شبانه,عالی,۲۵ بهمن ۱۴۰۲,5
برگرلند(اندرزگو)شبانه,افتضاح,۱۵ تیر ۱۴۰۲,
بامزی (اقدسیه),کیفیت نسبت به قیمت بسیار پایین بسیار سرد,۱ آبان ۱۴۰۴,
بامزی (اقدسیه),این پیتزا خوشمزه و از همه نظر خوب بود. ۲۰ درصد هم تخفیف داشت. اگر بامزی همینجور ادامه بدهد، همیشه از بامزی و فقط همین پیتزا را می خریم.,۹ بهمن ۱۴۰۳,5
بامزی (اقدسیه),افتضااااح,۲۲ آذر ۱۴۰۳,
بامزی (اقدسیه),سلام خیلی به موقع رسید و زودتر از تایمی که زده بودن و خوشمزه بود راضی م و حتما بازم سفارش میدم,۴ آبان ۱۴۰۳,5
بامزی (اقدسیه),متاسفانه با وجود فاصله کوتاه تا رستوران غذا بسیار سرد به دست ما رسید,۲۳ شهریور ۱۴۰۳,3
بامزی (اقدسیه),با سلام من قبلا حضوری و غیر حضوری بارها از این فست فود سفارش پیتزا دادم ولی اینبار پیتزا سیر و استیک گرفتم که بسیار،بسیار کیفیت بدی داشت و نونش سوخته و کاملا خشک و بد مزه بود.واقعا امشب پولمو دور ریختم.البته سالاز سزارش کیفیت متوسطی داشت.,۴ شهریور ۱۴۰۳,
بامزی (اقدسیه),من همیشه بامزی سفارش میزاشتم و راضی هم بودم اما این بار بشدت ناراضی بودم از نان پیتزاها برشته و سوخته محتویات خیلی کم و بی کیفیت واقعا ناراحت شدم از کیفیت چون همیشه اولین انتخابم بامزی بود,۲۴ مرداد ۱۴۰۳,
بامزی (اقدسیه),مثل همیشه عالی و خوشمزه,۳۰ تیر ۱۴۰۳,5
بامزی (اقدسیه),متاسفانه کیفیت ضعیف بود,۱ خرداد ۱۴۰۳,
بامزی (اقدسیه),راضی بودم,۳۰ فروردین ۱۴۰۳,5
بامزی (اقدسیه),بامزی بهترینی,۱۴ فروردین ۱۴۰۳,5
بامزی (اقدسیه),بی کیفیت ترین پیتزایی که میتوانید سفارش دهید با همچین قیمت فضایی یک لایه نون و یه لایه پنیر بدون محتویات و بسیار خمیر خشک مانند لاستیک خیلی بی کیفیت بود واقعا از بامزی بعید بود همچین چیزی دست مشتری بدهد,۸ فروردین ۱۴۰۳,
بامزی (اقدسیه),بی نظیره این پیتزا ، نان سیر و ۱۰ بار سفارش دادم سیر نمیشم ازش خیلی همه چیزش اندازه است و بزرگ هم هست,۲۷ اسفند ۱۴۰۲,5
بامزی (اقدسیه),خیلی‌ دوستش دارم واقعا خوش مزه و خوش قیمت هستش,۲۷ اسفند ۱۴۰۲,5
بامزی (اقدسیه),پیتزا ارسال نشده,۲۶ اسفند ۱۴۰۲,
بامزی (اقدسیه),سفارش با ۴۰ دقیقه تاخیر به دستم رسید علاوه بر ۶۵ دقیقه‌ای که منتظر بودیم کیفیت غذا هم معمولی بود پیتزا سیر استیکش بهتر بود,۱۷ اسفند ۱۴۰۲,2
بامزی (اقدسیه),فلفل دلمه ای ها نپخته بود و روی نون پیتزا بجای سس رب گوجه فرنگی بود,۱۰ اسفند ۱۴۰۲,3
بامزی (اقدسیه),سس محصوص مثل قبل نداشت,۱۶ آذر ۱۴۰۲,5
بامزی (اقدسیه),غذا نسبت به سری قبل بی کیفیت و خیلی سرد بود,۹ آذر ۱۴۰۲,2
بامزی (اقدسیه),خوشمزه بود,۲۷ آبان ۱۴۰۲,5
فست فود بارکد,مثل همیشه گرم و عالی.,۲۹ مهر ۱۴۰۴,5
فست فود بارکد,مثل همیشه عالی و گرم به دستم رسید .,۲۲ مهر ۱۴۰۴,5
فست فود بارکد,عالی و درجه یک,۳۱ شهریور ۱۴۰۴,5
فست فود بارکد,خیلی خوشمزه بود. تشکر,۱۳ شهریور ۱۴۰۴,5
فست فود بارکد,پیتزا با این قیمت بسیار کوچک هست ۱ بچه رو هم سیر نمیکنه,۵ شهریور ۱۴۰۴,3
فست فود بارکد,بسیار عالی,۵ شهریور ۱۴۰۴,5
فست فود بارکد,بدترین پیتزای استیکی که اخیرا سفارش دادم. گوشت مونده، خشک و بی طعم. خمیر پیتزا واقعا بی کیفیت. اصلا راا,۴ شهریور ۱۴۰۴,
فست فود بارکد,کیفیت خوبی داره. من اکثرا حضوری یا تلفنی سفارش می دم ولی با اسنپ هم سفارش دادم سریع و گرم به دستم رسید. ممنون از مدیریت خوب بارکد,۳ شهریور ۱۴۰۴,5
فست فود بارکد,خیلی خیلی خوب و داغ,۱۱ مرداد ۱۴۰۴,5
فست فود بارکد,طعم عالی سریع هم ارسال شد مرسی,۱ تیر ۱۴۰۴,5
فست فود بارکد,ممنون غذاتون گرم و به موقع به دستم رسید ،کیفیت غذاتون عالیه ،سالاد هم خیلی سایزش مناسب و مرغشم خوشمزه بود,۷ اسفند ۱۴۰۳,5
فست فود بارکد,ابعد از مدتها خوشحال و امیدوار شدم که هنوز رستورانهایی هستند که کیفیت براشون مهمه و قطعا پیشنهاد می کنم امتحان کنید و لذت ببرید,۵ اسفند ۱۴۰۳,5
فست فود بارکد,جز خاص ترین برگرهایی که خوردم طعم واقعی گوشت بود پیتزا استیک مثل همیشه عالی بود,۱۵ مهر ۱۴۰۳,5
فست فود بارکد,کیفیت خوب بود و گرم به دستم رسید,۲۹ مرداد ۱۴۰۳,5
فست فود بارکد,خوشمزه، باکیفیت، قیمتِ متناسب,۲ آذر ۱۴۰۲,4
فست فود بارکد,عالی,۱۸ شهریور ۱۴۰۲,5
فست فود بارکد,عالی,۱۵ شهریور ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),کیفیت به شدت پایین اومده,۲۶ آذر ۱۴۰۳,
پیتزا پرپروک (پاسداران - شبانه),مثل هميشه بي نظير و عالي,۱۶ مرداد ۱۴۰۱,5
پیتزا پرپروک (پاسداران - شبانه),بسیار سریع و هر دو قلم عالی! ۲۹ دقیقه,۳ اردیبهشت ۱۴۰۳,5
پیتزا پرپروک (پاسداران - شبانه),مثل همیشه بسیار با کیفیت و عالی ، با بهترین متریال اولیه,۱۱ مرداد ۱۴۰۲,5
پیتزا پرپروک (پاسداران - شبانه),غذا عالى بود فقط كمى دير رسيد كه فكر ميكنم بخاطر تعطيلى و شلوغى بود,۱۹ دی ۱۴۰۰,4
پیتزا پرپروک (پاسداران - شبانه),سفارش کاملا سرد بود کیفیت غذا و طعم بینهایت پایین,۴ بهمن ۱۴۰۳,
پیتزا پرپروک (پاسداران - شبانه),خیلی قیمتش بالاست. ولی خب کیفیتشم خیلی خوبه. ولی هرجور حساب میکنم خیلی گرونه,۲۴ آذر ۱۴۰۳,5
پیتزا پرپروک (پاسداران - شبانه),سفارش من اشتباه ارسال شد و ما به التفاوتش رو برنگردوندین,۱۹ تیر ۱۴۰۱,3
پیتزا پرپروک (پاسداران - شبانه),یکی از خوبیای پرپروک باز بودن تا ساعت دیروقت هست . همیشه با کیفیت,۱۶ تیر ۱۴۰۱,5
پیتزا پرپروک (پاسداران - شبانه),خیلی خوشمزه یود,۲ خرداد ۱۴۰۱,5
پیتزا پرپروک (پاسداران - شبانه),نان ساندويچ بيات بود,۱۸ بهمن ۱۴۰۰,3
پیتزا پرپروک (پاسداران - شبانه),سیر و استیک زیاد جالب نبود. بقیه خوب بودن,۱۵ بهمن ۱۴۰۰,4
پیتزا پرپروک (پاسداران - شبانه),عالی,۲۱ دی ۱۴۰۰,5
پیتزا پرپروک (پاسداران - شبانه),مثل هميشه عالي و بي نقص,۲۹ آذر ۱۴۰۰,5
فست فود بارکد,عالی بود,۴ مهر ۱۴۰۴,5
فست فود بارکد,غذا بسیار خوش مزه و داغ و سر موقع رسید,۲۱ شهریور ۱۴۰۴,5
فست فود بارکد,عالی بود ممنون. هم طعم هم کیفیت,۱۲ مرداد ۱۴۰۴,5
فست فود بارکد,عالی بود,۱۴ تیر ۱۴۰۴,5
فست فود بارکد,خیلی خمیر کلفت و نپخته ایی داشت همشم خمیر بود و پنیر بدون هیچ موادی استیکا سوخته و خشک بودن در کل نسبت به قیمت اصلا نمی ارزه,۹ خرداد ۱۴۰۴,
فست فود بارکد,خوب بود ولي عالي نبود,۲۲ فروردین ۱۴۰۴,4
فست فود بارکد,کیفیت بسیار پایین قیمت بالا نسبت به کیفیت,۱۴ دی ۱۴۰۳,
فست فود بارکد,عالی عالی عالی,۱۴ شهریور ۱۴۰۰,5
فست فود بارکد,نان سیر عالی بود. طعم پیتزا خوب بود کمی موادش نسبت به حجم پیتزا کم بود.,۲۴ دی ۱۳۹۹,4
فست فود بارکد,سفارش به موقع رسید ولی کمی سرد بود به نسبت یک پیتزای ۶۹۵۰۰ تومانی خیلی انتخاب های بهتری میشد کرد. نون پیتزا خیلی نرم بود محتویات و طعم در حد انتظار نبود,۳ مهر ۱۳۹۹,3
فست فود بارکد,قابل خوردن نبود ، زیر پیتزا سوخته و سیاه خود پیتزا خمیر و وا رفته . تعداد قارچ هم به ۱۰ تا نمیرسید برخورد تلفنی خیلی بدیم داشتن. اخرین سفارشم بود,۲ مرداد ۱۳۹۸,
فست فود بارکد,فيلادلفيا عاااالي بود محشر ممنونم,۲۵ اسفند ۱۳۹۷,
فست فود بارکد,خیلی خوب بود .,۲۲ دی ۱۳۹۷,
کافه پیتزا ناپولیتن,غذا رو اشتباه فرستاده بودند ولی در کل خوب بود,۳۰ مهر ۱۴۰۴,4
کافه پیتزا ناپولیتن,اصلا پیشنهاد نمیشه عدم تناسب قیمت و کیفیت,۲۶ مهر ۱۴۰۴,
کافه پیتزا ناپولیتن,افتضاح بود,۳ مرداد ۱۴۰۴,
کافه پیتزا ناپولیتن,پیک فوق العاده مودب بود.,۱۹ بهمن ۱۴۰۳,4
کافه پیتزا ناپولیتن,طعمش افتضاح بود بسیار سرد,۲ آذر ۱۴۰۳,
پیتزا پرپروک (پاسداران - شبانه),قبلا خیلی بهتر بود ولی متأسفانه کیفیت بسیار پایین آمده,۸ اردیبهشت ۱۴۰۲,3
پیتزا پرپروک (پاسداران - شبانه),از همه لحاظ عالی من از خیلی جاها غذا گرفتم و کار خودمم تو رستوران واقعا بهتون رابطه عالی میدم همیشه از غذاهایی که سفارش دادم راضی بودم کلا نظر نمیدم ولی اینسری گفتم حتما تشکر کنم,۲۳ بهمن ۱۴۰۱,5
فست فود بارکد,مثل همیشه گرم و عالی.,۲۹ مهر ۱۴۰۴,5
فست فود بارکد,مثل همیشه عالی و گرم به دستم رسید .,۲۲ مهر ۱۴۰۴,5
فست فود بارکد,عالی و درجه یک,۳۱ شهریور ۱۴۰۴,5
فست فود بارکد,خیلی خوشمزه بود. تشکر,۱۳ شهریور ۱۴۰۴,5
فست فود بارکد,پیتزا با این قیمت بسیار کوچک هست ۱ بچه رو هم سیر نمیکنه,۵ شهریور ۱۴۰۴,3
فست فود بارکد,بسیار عالی,۵ شهریور ۱۴۰۴,5
فست فود بارکد,بدترین پیتزای استیکی که اخیرا سفارش دادم. گوشت مونده، خشک و بی طعم. خمیر پیتزا واقعا بی کیفیت. اصلا راا,۴ شهریور ۱۴۰۴,
فست فود بارکد,کیفیت خوبی داره. من اکثرا حضوری یا تلفنی سفارش می دم ولی با اسنپ هم سفارش دادم سریع و گرم به دستم رسید. ممنون از مدیریت خوب بارکد,۳ شهریور ۱۴۰۴,5
فست فود بارکد,خیلی خیلی خوب و داغ,۱۱ مرداد ۱۴۰۴,5
فست فود بارکد,طعم عالی سریع هم ارسال شد مرسی,۱ تیر ۱۴۰۴,5
فست فود بارکد,ممنون غذاتون گرم و به موقع به دستم رسید ،کیفیت غذاتون عالیه ،سالاد هم خیلی سایزش مناسب و مرغشم خوشمزه بود,۷ اسفند ۱۴۰۳,5
فست فود بارکد,ابعد از مدتها خوشحال و امیدوار شدم که هنوز رستورانهایی هستند که کیفیت براشون مهمه و قطعا پیشنهاد می کنم امتحان کنید و لذت ببرید,۵ اسفند ۱۴۰۳,5
فست فود بارکد,جز خاص ترین برگرهایی که خوردم طعم واقعی گوشت بود پیتزا استیک مثل همیشه عالی بود,۱۵ مهر ۱۴۰۳,5
فست فود بارکد,کیفیت خوب بود و گرم به دستم رسید,۲۹ مرداد ۱۴۰۳,5
فست فود بارکد,خوشمزه، باکیفیت، قیمتِ متناسب,۲ آذر ۱۴۰۲,4
فست فود بارکد,عالی,۱۸ شهریور ۱۴۰۲,5
فست فود بارکد,عالی,۱۵ شهریور ۱۴۰۲,5
فست فود بارکد,واقعا مثل همیشه عالی بود من واسه تحویل عجله داشتم و با وجود شلوغی در اولین زمان ممکن برام ارسال شد عالی,۲۲ آبان ۱۴۰۴,5
